CameraCaptureEvent,On_Drake_Harddrive,In_Two_Locations,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_Correct,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
ZL07_CC_19Jan2021,Yes,Yes,n/a,Yes,No,photo,Yes,,2,4,0,4,27,
ZL09_CC_02Aug2021,Yes,Yes,No,Yes,No,video,Yes,83,1,0,1,1,3,
ZL09_CC_10May2021,Yes,Yes,No,,No,photo + video,Yes,82,18,32,18,50,11,
ZL09_CC_11Nov2021,Yes,Yes,No,Yes,No,video,Yes,100,2,0,2,2,39,
ZL09_CC_16Feb2021,Yes,Yes,No,,No,photo + video,Yes,27,16,32,15,47,11,
ZL09_CC_17Mar2022,Yes,Yes,No,Yes,No,video,Yes,125,30,0,30,30,37,
ZL09_CC_29Sep2022,Yes,,No,Yes,No,video,,94,12,0,12,12,,
ZL1_CC_28Jun2022,Yes,Yes,No,Yes,No,video,,104,1,0,1,1,,
ZL10_CC_02Aug2021,Yes,Yes,2022-04-09,Yes,No,video,Yes,83,6,0,6,6,3,
ZL10_CC_11Nov2021,Yes,Yes,2022-04-14,Yes,No,video,Yes,100,12,0,12,12,39,
ZL10_CC_28Jun2022,Yes,Yes,No,Yes,No,video,,,148,0,148,148,,
ZL10_CC_29Sep2022,Yes,Yes,No,Yes,No,video,,94,230,0,230,230,,
ZL2_CC_28Jun2022,Yes,Yes,No,Yes,No,video,,104,1,0,1,1,,
ZL3_CC_28Jun2022,Yes,Yes,No,Yes,No,video,,104,1,0,1,1,,
ZL6_CC_28Jun2022,Yes,Yes,No,Yes,No,video,,104,17,0,17,17,,
ZL9_CC_28Jun2022,Yes,Yes,No,Yes,No,video,,104,144,0,144,144,,
DZ_CC_17Feb2021,No,,,,No,,,,,,,,43,
DZ1_CC_13Nov2020,No,,,,No,,,,,,,,43,
DZ1_CC_16Dec2020,No,,,,No,,,,,,,,43,
DZ1_CC_20Jan2021,No,,,,No,,,,,,,,43,
EC1_CC_07Nov2020,No,,,,No,,,,,,,,30,
EC1_CC_20Dec2020,No,,,,No,,,,,,,,30,
EC2_CC_07Nov2020,No,,,,No,,,,,,,,17,
EC2_CC_20Dec2020,No,,,,No,,,,,,,,17,
GC15_CC_06Jun2021,No,,,,No,,,,,,,,,
GC22_CC_12Sep2021,No,,,,No,,,,,,,,44,
GCBAC_CC_07May2021,No,,,,No,,,,,,,,42,
GCBAR_CC_02June2021,No,,,,No,,,,,,,,42,
GCBB_CC_June2021,No,,,,No,,,,,,,,,
GCBH_CC_06May2021,No,,,,No,,,,,,,,42,
GCC_CC_03June2021,No,,,,No,,,,,,,,40,
GCC_CC_13Mar2022,No,,,,No,,10 min fast,,,,,,36,
GCET1_CC_02June2021,No,,,,No,,,,,,,,,
GCET2_CC_02June2021,No,,,,No,,,,,,,,,
GCET3_CC_02June2021,No,,,,No,,,,,,,,,
GCETR_CC_16Jun2022,No,,,,No,,,,,,,,49,
GCHR_CC_03June2021,No,,,,No,,,,,,,,40,
GCJH_CC_06May2021,No,,,,No,,,,,,,,42,
GCPP_CC_03June2021,No,,,,No,,,,,,,,40,
GCRT_CC_03Jun2021,No,,,,No,,,,,,,,40,
GCYL_CC_03June2021,No,,,,No,,,,,,,,42,
GCYL_CC_10Sep2021,No,,,,No,,,,,,,,23,
HQW_CC_15Nov2020,No,,,,No,,,,,,,,,
HQW_CC_20Jan2021,No,,,,No,,,,,,,,,
HQW_CC_7Dec2020,No,,,,No,,,,,,,,31,
KC06_CC_13July2021,No,,,,No,,,,,,,,,
LH_CC_15Dec2020,No,,,,No,,Is the year on the CheckEvent correct here?,,,,,,44,
LH_CC_22Oct2020,No,,,,No,,,,,,,,,
LH_CC_23Sep2021,No,,,,No,,,,,,,,25,
MY1_CC_05Nov2020,No,,,,No,,,,,,,,33,
MY1_CC_17Feb2021,No,,,,No,,,,,,,,33,
MY1_CC_19Jan2021,No,,,,No,,,,,,,,33,
MY2_CC_05Nov2020,No,,,,No,,,,,,,,15,
MY3_CC_11Aug2022,No,,,,No,,,,,,,,,
MY3_CC_11Nov2020,No,,,,No,,,,,,,,16,
MY4_CC_11Nov2020,No,,,,No,,,,,,,,20,
MY5_CC_05Nov2020,No,,,,No,,,,,,,,20,
MY5_CC_07Dec2020,No,,,,No,,,,,,,,20,
MY5_CC_17Feb2021,No,,,,No,,,,,,,,20,
MY5_CC_19Jan2021,No,,,,No,,,,,,,,,
MY6_CC_11Nov2020,No,,,,No,,,,,,,,14,
NL7_CC_10Dec2020,No,,,,No,,,,,,,,,
NL7_CC_15Nov2020,No,,,,No,,,,,,,,,
NL7_CC_19Jan2021,No,,,,No,,,,,,,,,
NRLB_CC_8Jun2021,No,,,,No,,,,,,,,23,
NRM_CC_08June2021,No,,,,No,,,,,,,,23,
OC_CC_14Nov2020,No,,,,No,,,,,,,,,
OC_CC_16Feb2021,No,,,,No,,,,,,,,8,
OC_CC_20Dec2020,No,,,,No,,,,,,,,44,
OC_CC_20Jan2021,No,,,,No,,,,,,,,,
PC1_CC_16Feb2021,No,,,,No,,,,,,,,6,
PC1_CC_20Jan2021,No,,,,No,,,,,,,,6,
PC2_CC_16Feb2021,No,,,,No,,,,,,,,6,
PC2_CC_20Jan2021,No,,,,No,,,,,,,,6,
RW_NL1_CC_25Oct2020,No,,,,No,,,,,,,,,
RW_NL4_CC_25Oct2020,No,,,,No,,,,,,,,,
RWHill_CC_16Feb2021,No,,,,No,,,,,,,,,5
RWHill_CC_20Dec2020,No,,,,No,,,,,,,,,5
RWHill_CC_20Jan2021,No,,,,No,,,,,,,,,5
RWPipe_CC_20Dec2020,No,,,,No,,,,,,,,,44
RWPipe_CC_20Jan2021,No,,,,No,,,,,,,,2,
SB1_CC_07Nov2020,No,,,,No,,,,,,,,32,
SB1_CC_20Dec2020,No,,,,No,,,,,,,,32,
SGP_CC_July2020,No,,,,No,,,,,,,,,
WH_CC_13Nov2020,No,,,,No,,,,,,,,29,
WH_CC_15Dec2020,No,,,,No,,,,,,,,29,
ZL01_CC_04Nov2020,No,,,,No,,,,,,,,21,
ZL01_CC_16Feb2021,No,,,,No,,,,,,,,21,
ZL02_CC_02Aug2021,No,,,,No,,,,,,,,3,
ZL02_CC_04Nov2020,No,,,,No,,,,,,,,13,
ZL03_CC_04Nov2020,No,,,,No,,,,,,,,28,
ZL03_CC_16Feb2021,No,,,,No,,,,,,,,28,
ZL04_CC_04Nov2020,No,,,,No,,,,,,,,34,
ZL04_CC_10Dec2020,No,,,No,No,photo + video,,,,,,,34,
ZL04_CC_16Feb2021,No,,,,No,,,,,,,,34,
ZL06_CC_03Nov2020,No,,,,No,,,,,,,,12,
ZL07_CC_04Nov2020,No,,,,No,,,,,,,,27,
ZL09_CC_19Jan2021,No,,,,No,,,,,,,,11,
ZL10_CC_10May2021,No,,,,No,,,,,,,,22,
