SiteNumber,SiteID,SiteName,SiteArea,NationalPark,SiteType,Synonymns,StartDay,FunctionalCameraTrapDays,DeploymentCheckEvent,01_Fall2020_CE,02_Winter2020_CE,03_Spring2021_CE,04_Summer2021_CE,05_Fall2021_CE,06_Winter2021_CE,07_Spring2022_CE,08_Summer2022_CE,09_Fall2022_CE,01_Fall2020_CCE,02_Winter2020_CCE,03_Spring2021_CCE,04_Summer2021_CCE,05_Fall2021_CCE,06_Winter2021_CCE,07_Spring2022_CCE,08_Summer2022_CCE,09_Fall2022_CCE
23,SGP,St. George Park,Lodge,Zion,outdoor,,7/7/21,need to input,SGP_19July2021,not deployed,not deployed,not deployed,SGP_Aug2021,SGP_07Oct2021,SGP_15Dec2021,SGP_17Mar2022,SGP_11Jun2022,need to input,not deployed,not deployed,not deployed,not deployed,"c(SGP_CC_07Oct2021, SGP_CC_15Dec2021)",SGP_CC_17Mar2022,SGP_CC_11Jun2022,need to input,need to input
16,WH,Willamarie's House,Maintenance Yard,Zion,outdoor,,11/13/20,need to input,WH1_13Nov2020,WH1_16Dec2020,"c(WH1_20Jan2021, WH1_17Feb2021)",check missing,check missing,check missing,WH_15Dec2021,WH_15Mar2022,WH_25Jun2022,need to input,WH_CC_15Dec2020,"c(WH_CC_20Jan2021, WH_CC_17Feb2021)",WH_CC_14Jul2021,camera capture missing,WH_CC_15Dec2021,WH_CC_15Mar2022,WH_CC_25Jun2022,WH_CC_30Sep2022,need to input
7,ZL1,FrontDesk,Lodge,Zion,building,,11/4/20,need to input,ZL1_04Nov2020,ZL1_10Dec2020,"c(ZL1_19Jan2021, ZL1_16Feb2021)",ZL1_10May2021,ZL1_02Aug2021,ZL1_11Nov2021,check missing,ZL1_17Mar2022,ZL1_28Jun2022,need to input,ZL1_CC_10Dec2020,"c(ZL01_CC_19Jan2021, ZL01_CC_16Feb2021)",ZL01_CC_10May2021,ZL01_CC_02Aug2021,ZL01_CC_11Nov2021,ZL01_CC_17Mar2022,ZL1_CC_28Jun2022,ZL01_CC_29Sep2022,need to input
11,ZL10,Hotel B,Lodge,Zion,building,,5/10/21,need to input,ZL10_10May2021,not deployed,not deployed,not deployed,ZL10_02Aug2021,ZL10_11Nov2021,check missing,ZL10_17Mar2022,ZL10_28Jun2022,need to input,not deployed,not deployed,not deployed,ZL10_CC_02Aug2021,ZL10_CC_11Nov2021,camera capture missing,ZL10_CC_28Jun2022,ZL10_CC_29Sep2022,need to input
8,ZL2,Giftshop,Lodge,Zion,building,,11/4/20,need to input,ZL2_04Nov2020,ZL2_10Dec2020,"c(ZL2_19Jan2021, ZL2_16Feb2021)",ZL2_10May2021,ZL2_02Aug2021,ZL2_11Nov2021,check missing,ZL02_17Mar2022,ZL02_28Jun2022,need to input,ZL2_CC_10Dec2020,"c(ZL02_CC_19Jan2021, ZL02_CC_16Feb2021)",ZL02_CC_10May2021,ZL02_CC_02Aug2021,ZL02_CC_11Nov2021,ZL02_CC_17Mar2022,ZL2_CC_28Jun2022,ZL02_CC_29Sep2022,need to input
9,ZL3,Server Station,Lodge,Zion,building,,11/4/20,need to input,ZL3_04Nov2020,ZL3_10Dec2020,"c(ZL3_19Jan2021, ZL3_16Feb2021)",ZL3_10May2021,ZL3_02Aug2021,ZL3_11Nov2021,check missing,ZL03_17Mar2022,ZL03_28Jun2022,need to input,ZL3_CC_10Dec2020,"c(ZL03_CC_19Jan2021, ZL02_CC_16Feb2021)",ZL03_CC_10May2021,ZL03_CC_02Aug2021,ZL03_CC_11Nov2021,ZL03_CC_17Mar2022,ZL3_CC_28Jun2022,ZL03_CC_29Sep2022,need to input
PilotSite,ZL4,Fireplace L,Lodge,Zion,building,,need to input,need to input,ZL4_04Nov2020,ZL4_10Dec2020,"c(ZL4_19Jan2021, ZL4_16Feb2021)",ZL4_10May2021,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,ZL04_CC_10Dec2020,"c(ZL04_CC_19Jan2021, ZL04_CC_16Feb2021)",ZL04_CC_10May2021,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed
PilotSite,ZL5,Fireplace R,Lodge,Zion,building,,need to input,need to input,ZL5_04Nov2020,check missing,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed
12,ZL6,Dungeon,Lodge,Zion,building,ZL7,11/3/20,need to input,ZL6_03Nov2020,ZL6_10Dec2020,"c(ZL6_19Jan2021, ZL6_16Feb2021)",ZL6_10May2021,ZL6_02Aug2021,ZL06_11Nov2021,check missing,ZL06_17Mar2022,ZL06_28Jun2022,need to input,ZL06_CC_10Dec2020,"c(ZL06_CC_19Jan2021, ZL06_CC_16Feb2021)",ZL06_CC_10May2021,ZL06_CC_02Aug2021,ZL06_CC_11Nov2021,ZL06_CC_17Mar2022,ZL6_CC_28Jun2022,ZL06_CC_29Sep2022,need to input
DuplicateSite,ZL7,Dungeon 2,Lodge,,building,,need to input,need to input,ZL7_04Nov2020,ZL7_10Dec2020,"c(ZL7_19Jan2021, ZL7_16Feb2021)",ZL07_10May2021,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed,ZL07_CC_10Dec2020,"c(ZL07_CC_19Jan2021, ZL07_CC_16Feb2021)",ZL07_CC_10May2021,not deployed,not deployed,not deployed,not deployed,not deployed,not deployed
10,ZL9,Vending Machine,Lodge,Zion,building,,1/19/21,need to input,ZL9_19Jan2021,not deployed,ZL9_16Feb2021,ZL9_May2021,ZL9_02Aug2021,ZL9_11Nov2021,check missing,ZL09_17Mar2022,ZL09_28Jun2022,need to input,not deployed,ZL09_CC_16Feb2021,ZL09_CC_10May2021,ZL09_CC_02Aug2021,ZL09_CC_11Nov2021,ZL09_CC_17Mar2022,ZL9_CC_28Jun2022,ZL09_CC_29Sep2022,need to input
