CameraCaptureEvent_id,Site,SeasonYear,On_Drake_Harddrive,On_Monarch_Harddrive,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_TimeZone,SiteTime_Correct,SiteTime_Adjust_Direction,SiteTime_Adjust_Value,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
EC1_CC_18May2021,EC1,03_Spring2021,Yes,Yes,n/a,Yes,2022-06-07,photo,,Yes,none,0000:00:00 00:00:00,89,2229,4459,0,4459,30,
EC1_CC_14Mar2022,EC1,07_Spring2022,Yes,Yes,n/a,Yes,2022-09-05,photo,,Yes,none,0000:00:00 00:00:00,102,50,100,0,100,36,
ECT_CC_02Oct2022,EC1,09_Fall2022,Yes,Yes,n/a,Yes,2022-11-01,photo,,Yes,none,0000:00:00 00:00:00,100,793,1586,0,1586,55,
EC1_CC_14Mar2021,EC1,03_Spring2021,Yes,Yes,n/a,Yes,2022-10-31,photo,,Yes,none,0000:00:00 00:00:00,,26,52,0,52,,
EC2_CC_02Aug2021,EC2,04_Summer2021,Yes,Yes,n/a,Yes,2022-06-08,photo,UTC -6,Yes,none,0000:00:00 00:00:00,75,10927,21854,0,21854,3,
EC2_CC_17Feb2021,EC2,02_Winter2020,Yes,Yes,n/a,Yes,2022-11-01,photo,UTC -7,Yes,none,0000:00:00 00:00:00,35,35,35,0,35,17,
EC2_CC_19Jan2021,EC2,02_Winter2020,Yes,Yes,n/a,Yes,2022-10-26,photo,UTC -7,Yes,none,0000:00:00 00:00:00,29,36,36,0,36,17,
EC2_CC_20Dec2020,EC2,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,17,
EC2_CC_14Mar2021,EC2,03_Spring2021,Yes,Yes,n/a,Yes,2022-09-05,photo,UTC -6,Yes,none,0000:00:00 00:00:00,24,52,52,0,52,17,
EC2_CC_18May2021,EC2,03_Spring2021,Yes,Yes,n/a,Yes,2022-06-04,photo,UTC -6,Yes,none,0000:00:00 00:00:00,64,647,647,0,647,17,
ECC_CC_02Oct2022,EC2,09_Fall2022,Yes,Yes,n/a,Yes,2022-11-01,photo,,Yes,none,0000:00:00 00:00:00,100,351,702,0,702,55,
GC15H_CC_06Dec2021,GC15H,06_Winter2021,Yes,Yes,n/a,Yes,2022-01-20,photo,UTC -7,Yes,none,0000:00:00 00:00:00,83,3,6,0,6,4,
GC15H_CC_08Mar2022,GC15H,07_Spring2022,Yes,Yes,n/a,Yes,2022-09-05,photo,UTC -7,Yes,,0000:00:00 00:00:00,93,80,160,0,160,35,
GC15H_CC_25July2021,GC15H,04_Summer2021,Yes,Yes,n/a,Yes,2022-06-06,photo,UTC -7,Yes,none,0000:00:00 00:00:00,49,1054,2108,0,2108,41,
GC15H_CC_11Sep2021,GC15H,05_Fall2021,Yes,Yes,n/a,Yes,2022-01-25,photo,UTC -7,Yes,none,0000:00:00 00:00:00,47,94,188,0,188,45,
GC15H_CC_13Jun2022,GC15H,08_Summer2022,Yes,Yes,n/a,Yes,2022-10-27,photo,UTC -7,Yes,none,0000:00:00 00:00:00,96,10014,20028,0,20028,48,
GC22_CC_05Dec2021,GCBAC,06_Winter2021,Yes,Yes,n/a,Yes,2022-06-07,photo,UTC -7,Yes,none,0000:00:00 00:00:00,83,2575,5150,0,5150,4,
GC22_CC_08Mar2022,GCBAC,07_Spring2022,Yes,Yes,n/a,Yes,2022-08-31,photo,UTC -7,Yes,,0000:00:00 00:00:00,93,5345,10690,0,10690,35,
GC22_CC_14Jun2022,GCBAC,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,96,23838,47675,0,47675,48,
GCBAC_CC_06Jun2021,GCBAC,04_Summer2021,Yes,Yes,n/a,Yes,2022-06-07,photo,UTC -7,Yes,none,0000:00:00 00:00:00,29,2358,4716,0,4716,,
GCBAR_CC_06Dec2021,GCBAR,06_Winter2021,Yes,Yes,2022-02-22,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,83,63,0,63,63,4,
GCBAR_CC_13Sep2021,GCBAR,05_Fall2021,Yes,Yes,2022-02-22,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,102,152,0,152,152,44,
GCBAR_CC_16Jun2022,GCBAR,08_Summer2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,100,382,0,382,382,49,
GCBAR_CC_19Sep2022,GCBAR,09_Fall2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,95,300,0,300,300,53,
GCBB_CC_05Dec2021,GCBB,06_Winter2021,Yes,Yes,n/a,Yes,2022-01-25,photo,UTC -7,Yes,none,0000:00:00 00:00:00,83,35,70,0,70,4,
GCBB_CC_12Sep2021,GCBB,05_Fall2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -7,Yes,none,0000:00:00 00:00:00,97,153,459,0,459,44,
GCBB_CC_14Jun2022,GCBB,08_Summer2022,Yes,Yes,n/a,Yes,2022-09-05,photo,UTC -7,Yes,none,0000:00:00 00:00:00,96,68,136,0,136,48,
GCBH_CC_05Dec2021,GCBH,06_Winter2021,Yes,Yes,2022-02-22,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,83,17,0,17,17,4,
GCBH_CC_09Mar2022,GCBH,07_Summer2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,,0000:00:00 00:00:00,93,151,0,151,151,35,
GCBH_CC_06Jun2021,GCBH,04_Summer2021,Yes,Yes,2022-05-24,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,30,106,2,106,108,40,"Two photo files -- appear to be accidental captures that occurred during camera setup, with all actual trigger events being video captures"
GCBH_CC_12Sep2021,GCBH,05_Fall2021,Yes,Yes,2022-03-05,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,97,6,0,6,6,44,
GCC_CC_10Sep2021,GCC,05_Fall2021,Yes,Yes,n/a,Yes,2022-06-06,photo,UTC -7,Yes,none,0000:00:00 00:00:00,46,823,1647,0,1647,23,
GCC_CC_25July2021,GCC,04_Summer2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -7,Yes,none,0000:00:00 00:00:00,51,11598,23196,0,23196,41,
GCC_CC_12Jun2022,GCC,08_Summer2022,Yes,Yes,n/a,Yes,2022-11-03,photo,UTC -7,Yes,none,0000:00:00 00:00:00,90,12203,24407,0,24407,47,
GCC_CC_19Sep2022,GCC,09_Fall2022,Yes,Yes,n/a,Yes,2022-11-08,photo,UTC -7,Yes,none,0000:00:00 00:00:00,100,3518,7036,0,7036,52,
GCETCR_CC_06Dec2021,GCETCR,06_Winter2021,Yes,Yes,2022-03-01,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,82,19,0,19,19,1,
GCETCR_CC_07Mar2022,GCETCR,07_Spring2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,,0000:00:00 00:00:00,90,16,0,16,16,35,
GCETCR_CC_16Jun2022,GCETCR,08_Summer2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,100,42,0,42,42,49,
GCETCR_CC_19Sep2022,GCETCR,09_Fall2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,96,19,0,19,19,52,
GCETCR_CC_14Sep2021,GCETCR,05_Fall2021,Yes,Yes,2022-03-01,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,103,108,0,108,108,,
GCETRO_CC_06Dec2021,GCETRO,06_Winter2021,Yes,Yes,2022-04-26,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,82,79,0,79,79,4,
GCETRO_CC_14Sep2021,GCETRO,05_Fall2021,Yes,Yes,2022-04-20,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,103,60,0,60,60,7,
GCETRO_CC_07Mar2022,GCETRO,07_Spring2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,,0000:00:00 00:00:00,90,63,0,63,63,35,
GCRO_CC_16Jun2022,GCETRO,08_Summer2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,100,54,0,54,54,49,
GCETRO_CC_19Sep2022,GCETRO,09_Fall2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,,290,0,290,290,52,
GCHR_CC_03Dec2021,GCHR,06_Winter2021,Yes,Yes,n/a,Yes,2022-06-04,photo,UTC -7,Yes,none,0000:00:00 00:00:00,83,539,1078,0,1078,2,
GCHR_CC_10Sep2021,GCHR,05_Fall2021,Yes,Yes,n/a,Yes,2022-04-14,photo,UTC -7,Yes,none,0000:00:00 00:00:00,46,52,52,0,52,23,
GCHR_CC_13Mar2022,GCHR,07_Spring2022,Yes,Yes,n/a,Yes,2022-09-05,photo,UTC -7,Yes,none,0000:00:00 00:00:00,94,113,226,0,226,36,
GCHR_CC_25Jul2021,GCHR,04_Summer2021,Yes,Yes,n/a,"each trigger event is 3 photos, not 2",No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,51,6441,19323,0,19323,41,
GCHR_CC_12Jun2022,GCHR,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,92,157,314,0,314,47,
GCHR_CC_17Sep2022,GCHR,09_Fall2022,Yes,Yes,n/a,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,98,429,858,0,858,52,
GCJH_CC_05Dec2021,GCJH,06_Winter2021,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,83,22,0,22,22,4,
GCJH_CC_09Mar2022,GCJH,07_Spring2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,,0000:00:00 00:00:00,93,415,0,415,415,35,
GCJH_CC_12Sep2021,GCJH,05_Fall2021,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,97,146,0,146,146,44,
NRL_CC_02Dec2021,GCNRL,06_Winter2021,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,74,1,0,1,1,2,
NRL_CC_30Jun2021,GCNRL,04_Summer2021,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,21,183,0,183,183,23,
NRLB_CC_8Jun2021,GCNRL,04_Summer2021,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,23,
NRL_CC_16Mar2022,GCNRL,07_Spring2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,104,46,0,46,46,36,
NRL_CC_17Sep2021,GCNRL,05_Fall2021,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,78,394,0,394,394,40,
NRL_CC_16Sep2022,GCNRL,09_Fall2022,Yes,,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,98,489,0,489,489,52,
NRM_CC_02Dec2021,GCNRM,06_Winter2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -7,Yes,none,0000:00:00 00:00:00,74,156,312,0,312,2,
NRM_CC_08Jun2021,GCNRM,04_Summer2021,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,23,
NRM_CC_16Mar2022,GCNRM,07_Spring2022,Yes,Yes,n/a,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,104,13,26,0,26,36,
NRM_CC_17Sep2021,GCNRM,05_Fall2021,Yes,Yes,n/a,Yes,2022-06-04,photo,UTC -7,Yes,none,0000:00:00 00:00:00,52,241,482,0,482,40,
NRM_CC_27Jul2021,GCNRM,04_Summer2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -7,Yes,none,0000:00:00 00:00:00,25,131,262,0,262,41,
NRM_CC_11Jun2022,GCNRM,08_Summer2022,Yes,Yes,n/a,,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,86,,,,,47,
GCPN_CC_14Jun2022,GCPN,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,96,5337,10674,0,10674,48,
GCPP_CC_03Dec2021,GCPP,06_Winter2021,Yes,Yes,n/a,Yes,2022-06-07,photo,UTC -7,Yes,none,0000:00:00 00:00:00,83,1391,2781,0,2781,2,
GCPP_CC_10Sep2021,GCPP,05_Fall2021,Yes,Yes,n/a,Yes,2022-06-07,photo,UTC -7,Yes,none,0000:00:00 00:00:00,46,2291,4582,0,4582,23,
GCPP_CC_25Jul2021,GCPP,04_Summer2021,Yes,Yes,n/a,"each trigger event is 3 photos, not 2",No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,51,3499,10497,0,10497,41,
GCPP_CC_12Jun2022,GCPP,08_Summer2022,Yes,Yes,n/a,Yes,2022-07-18,photo,UTC -7,Yes,none,0000:00:00 00:00:00,90,6026,12052,0,12052,47,
GCPP_CC_17Sep2022,GCPP,09_Fall2022,Yes,Yes,n/a,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,98,10293,20586,0,20586,52,
