CameraCaptureEvent_id,Site,SeasonYear,On_Drake_Harddrive,On_Monarch_Harddrive,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_TimeZone,SiteTime_Correct,SiteTime_Adjust_Direction,SiteTime_Adjust_Value,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
MY4_CC_04May2022,MY4,07_Spring2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,91,325,0,325,325,46,
MY4_CC_10Aug2022,MY4,08_Summer2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,97,370,0,370,370,50,
MY5_CC_07Dec2020,MY5,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,20,
MY5_CC_17Feb2021,MY5,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,20,
MY5_CC_16Mar2021,MY5,03_Spring2021,Yes,Yes,No,,No,photo + video,UTC -6,Yes,none,0000:00:00 00:00:00,26,7,14,3,17,20,20
MY5_CC_13Jul2021,MY5,04_Summer2021,Yes,Yes,2022-04-09,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,118,10,0,10,10,20,20
MY5_CC_31Jan2022,MY5,06_Winter2021,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,117,10,0,10,10,24,24
MY5_CC_04May2022,MY5,07_Spring2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,92,9,0,9,9,46,
MY5_CC_10Aug2022,MY5,08_Summer2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,97,9,0,9,9,50,
MY5_CC_19Jan2021,MY5,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,20,
MY6_CC_07Dec2020,MY6,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,25,38,76,37,113,14,
MY6_CC_17Feb2021,MY6,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,28,19,38,19,57,14,
MY6_CC_19Jan2021,MY6,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,42,24,48,24,72,14,
MY6_CC_16Mar2021,MY6,03_Spring2021,Yes,Yes,No,,No,photo + video,UTC -6,Yes,none,0000:00:00 00:00:00,26,6,12,5,17,14,
MY6_CC_29Jun2021,MY6,04_Summer2021,Yes,Yes,2022-04-14,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,104,31,0,31,31,14,
MY6_CC_05Oct2021,MY6,05_Fall2021,Yes,Yes,2022-04-16,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,97,24,0,24,24,14,
MY6_CC_01Feb2022,MY6,06_Winter2021,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,118,71,0,71,71,25,
MY6_CC_04May2022,MY6,07_Spring2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,91,103,0,103,103,46,
MY6_CC_11Aug2022,MY6,08_Summer2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,97,471,0,471,471,50,
OC_CC_01Dec2021,OC,06_Winter2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -7,Yes,none,0000:00:00 00:00:00,57,195,390,0,390,5,
OC_CC_16Feb2021,OC,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,8,
PC_CC_02Aug2021,PC1,04_Summer2021,Yes,Yes,n/a,Yes,2022-05-03,photo,UTC -6,Yes,none,0000:00:00 00:00:00,35,115,230,0,230,3,
PC_CC_01Dec2021,PC1,06_Winter2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -7,Yes,none,0000:00:00 00:00:00,57,139,278,0,278,5,
PC1_CC_20Jan2021,PC1,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,6,
PC1_CC_16Feb2021,PC1,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,6,
PC_CC_27Jun2021,PC1,04_Summer2021,Yes,Yes,n/a,Yes,2022-01-25,photo,UTC -6,Yes,none,0000:00:00 00:00:00,111,41,82,0,82,6,
PC_CC_04Oct2021,PC1,05_Fall2021,Yes,Yes,n/a,Yes,2022-06-06,photo,UTC -6,Yes,none,0000:00:00 00:00:00,62,1188,2376,0,2376,6,
PC_CC_17Mar2022,PC1,07_Spring2022,Yes,Yes,n/a,Yes,No,photo,,Yes,none,0000:00:00 00:00:00,105,206,412,0,412,37,
PC2_CC_20Jan2021,PC2,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,6,
PC2_CC_16Feb2021,PC2,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,6,
RWH_CC_22Jul2021,RWH,04_Summer2021,Yes,Yes,n/a,Yes,2022-05-03,photo,UTC -6,Yes,none,0000:00:00 00:00:00,69,102,204,0,204,5,
RWH_CC_01Dec2021,RWH,06_Winter2021,Yes,Yes,n/a,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,60,241,241,0,241,5,
RWH_CC_17Mar2022,RWH,07_Spring2022,Yes,Yes,n/a,Yes,No,photo,,Yes,none,0000:00:00 00:00:00,105,7811,15621,0,15621,37,
RWPipe_CC_20Jan2021,RWP,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,2,
RWP_CC_22Jul2021,RWP,04_Summer2021,Yes,Yes,n/a,Yes,2022-06-04,photo,UTC -6,Yes,none,0000:00:00 00:00:00,72,255,510,0,510,2,
RWP_CC_02Oct2021,RWP,05_Fall2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -6,Yes,none,0000:00:00 00:00:00,71,228,456,0,456,2,
RWP_CC_01Dec2021,RWP,06_Winter2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -7,Yes,none,0000:00:00 00:00:00,59,133,265,0,265,5,
RWP_CC_17Mar2022,RWP,07_Spring2022,Yes,Yes,n/a,Yes,No,photo,,Yes,none,0000:00:00 00:00:00,105,47,94,0,94,38,
SB_CC_19Jan2021,SB,02_Winter2020,Yes,Yes,No,,No,photo + video,,Yes,none,0000:00:00 00:00:00,,194,390,194,584,32,
SGP_CC_15Dec2021,SGP,06_Winter2021,Yes,Yes,n/a,Yes,2022-01-25,photo,UTC -7,Yes,none,0000:00:00 00:00:00,68,102,203,0,203,1,
SGP_CC_07Oct2021,SGP,05_Fall2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -6,Yes,none,0000:00:00 00:00:00,91,132,264,0,264,24,
SGP_CC_17Mar2022,SGP,07_Spring2022,Yes,Yes,n/a,Yes,No,photo,,Yes,none,0000:00:00 00:00:00,91,142,284,0,284,38,
WH_CC_15Dec2021,WH,06_Winter2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -7,Yes,none,0000:00:00 00:00:00,183,198,396,0,396,1,
WH_CC_14Jul2021,WH,04_Summer2021,Yes,Yes,n/a,Yes,No,photo,UTC -6,Yes,none,0000:00:00 00:00:00,116,67,134,0,134,24,
WH_CC_20Jan2021,WH,02_Winter2020,Yes,Yes,n/a,,No,photo + video,,Yes,none,0000:00:00 00:00:00,34,,973,228,1201,29,
WH_CC_17Feb2021,WH,02_Winter2020,Yes,Yes,n/a,Yes,2022-06-06,photo,,Yes,none,0000:00:00 00:00:00,27,1098,2196,0,2196,29,
WH_CC_15Mar2022,WH,07_Spring2022,Yes,Yes,n/a,Yes,No,photo,,Yes,none,0000:00:00 00:00:00,89,115,230,0,230,37,
ZL01_CC_04Nov2020,ZL1,01_Fall2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,21,
ZL01_CC_19Jan2021,ZL1,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,39,8,16,8,24,21,
ZL01_CC_16Feb2021,ZL1,02_Winter2020,No,,,,No,,UTC -7,Yes,none,0000:00:00 00:00:00,,,,,,21,
ZL01_CC_10May2021,ZL1,03_Spring2021,Yes,Yes,2022-04-09,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,82,8,3,8,11,21,
ZL01_CC_17Mar2022,ZL1,07_Spring2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,125,11,0,11,11,37,
ZL01_CC_11Nov2021,ZL1,05_Fall2021,Yes,Yes,2022-04-16,Yes,No,video,,Yes,none,0000:00:00 00:00:00,100,24,0,24,24,39,
ZL10_CC_02Aug2021,ZL10,04_Summer2021,Yes,Yes,2022-04-09,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,83,6,0,6,6,3,
ZL10_CC_10May2021,ZL10,03_Spring2021,No,,,,No,,UTC -6,Yes,none,0000:00:00 00:00:00,,,,,,22,
ZL10_CC_11Nov2021,ZL10,05_Fall2021,Yes,Yes,2022-04-14,Yes,No,video,,Yes,none,0000:00:00 00:00:00,100,12,0,12,12,39,
ZL02_CC_02Aug2021,ZL2,04_Summer2021,No,,,,No,,UTC -6,Yes,none,0000:00:00 00:00:00,,,,,,3,
ZL02_CC_10Dec2020,ZL2,02_Winter2020,Yes,Yes,No,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,35,1,2,0,2,13,PilotData
ZL02_CC_16Feb2021,ZL2,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,27,4,8,3,11,13,
ZL02_CC_19Jan2021,ZL2,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,39,9,18,8,24,13,
ZL02_CC_10May2021,ZL2,03_Spring2021,Yes,Yes,2022-04-20,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,82,47,0,47,47,13,
ZL02_CC_17Mar2022,ZL2,07_Spring2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,125,283,0,283,283,37,
ZL02_CC_11Nov2021,ZL2,05_Fall2021,Yes,Yes,2022-05-17,Yes,No,video,,Yes,none,0000:00:00 00:00:00,100,92,0,92,92,39,contains subfolder that appears to be duplicate of files in main folder
ZL2_CC_28Jun2022,ZL2,08_Summer2022,Yes,Yes,No,Yes,No,video,,Yes,none,,104,1,0,1,1,50,
ZL03_CC_10Dec2020,ZL3,02_Winter2020,Yes,Yes,No,,No,photo + video,,Yes,none,0000:00:00 00:00:00,35,4,8,4,12,28,
ZL03_CC_19Jan2021,ZL3,02_Winter2020,Yes,Yes,No,,No,photo + video,,Yes,none,0000:00:00 00:00:00,39,12,24,11,35,28,
ZL03_CC_10May2021,ZL3,03_Spring2021,Yes,Yes,2022-04-09,Yes,No,video,,Yes,none,0000:00:00 00:00:00,82,5,2,5,7,28,
ZL03_CC_17Mar2022,ZL3,07_Spring2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,125,32,0,32,32,37,
ZL03_CC_11Nov2021,ZL3,05_Fall2021,Yes,Yes,2022-04-14,Yes,No,video,,Yes,none,0000:00:00 00:00:00,100,17,0,17,17,39,
ZL04_CC_19Jan2021,ZL4,02_Winter2020,Yes,Yes,No,,No,photo + video,,Yes,,0000:00:00 00:00:00,,2,4,1,5,34,
ZL04_CC_10May2021,ZL4,03_Spring2021,Yes,Yes,No,,No,photo + video,,Yes,,0000:00:00 00:00:00,,2,4,2,6,34,
ZL06_CC_02Aug2021,ZL6,04_Summer2021,Yes,Yes,2022-04-09,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,83,6,0,6,6,3,
ZL06_CC_10Dec2020,ZL6,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,36,37,73,26,99,12,not a consistent pattern of photos and videos
ZL06_CC_16Feb2021,ZL6,02_Winter2020,Yes,Yes,n/a,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,27,6,12,0,12,12,
ZL06_CC_19Jan2021,ZL6,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,39,41,84,41,125,12,
ZL06_CC_10May2021,ZL6,03_Spring2021,Yes,Yes,2022-04-09,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,82,5,0,5,5,12,
ZL06_CC_17Mar2022,ZL6,07_Spring2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,125,9,0,9,9,37,
ZL06_CC_11Nov2021,ZL6,05_Fall2021,Yes,Yes,2022-04-09,Yes,No,video,,Yes,none,0000:00:00 00:00:00,100,12,0,12,12,39,
ZL07_CC_10Dec2020,ZL7,02_Winter2020,Yes,Yes,n/a,Yes,2022-06-04,photo,,Yes,none,0000:00:00 00:00:00,,489,978,0,978,27,
ZL07_CC_19Jan2021,ZL7,02_Winter2020,Yes,Yes,n/a,Yes,No,photo,,Yes,none,0000:00:00 00:00:00,,2,4,0,4,27,
ZL07_CC_16Feb2021,ZL7,02_Winter2020,Yes,Yes,No,,No,photo + video,,Yes,none,0000:00:00 00:00:00,,23,46,22,68,27,
ZL07_CC_10May2021,ZL7,03_Spring2021,Yes,Yes,2022-04-09,Yes,No,video,,Yes,none,0000:00:00 00:00:00,,12,0,12,12,27,
ZL09_CC_02Aug2021,ZL9,04_Summer2021,Yes,Yes,No,Yes,No,video,UTC -6,Yes,none,0000:00:00 00:00:00,83,1,0,1,1,3,
ZL09_CC_16Feb2021,ZL9,02_Winter2020,Yes,Yes,No,,No,photo + video,UTC -7,Yes,none,0000:00:00 00:00:00,27,16,32,15,47,11,
ZL09_CC_10May2021,ZL9,03_Spring2021,Yes,Yes,No,,No,photo + video,UTC -6,Yes,none,0000:00:00 00:00:00,82,18,32,18,50,11,
ZL09_CC_17Mar2022,ZL9,07_Spring2022,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,125,30,0,30,30,37,
ZL09_CC_11Nov2021,ZL9,05_Fall2021,Yes,Yes,No,Yes,No,video,,Yes,none,0000:00:00 00:00:00,100,2,0,2,2,39,
ZL9_CC_28Jun2022,ZL9,08_Summer2022,Yes,Yes,No,Yes,No,video,,Yes,,,104,144,0,144,144,50,
GCETRF_CC_13Sep2021,,05_Fall2021,Yes,Yes,2022-05-31,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,104,121,1,121,122,45,One photo file -- appears to be accidental capture during camera deployment
DZ1_CC_13Nov2020,DZ,01_Fall2020,No,,,,No,,UTC -7,,,,,,,,,43,
DZ1_CC_16Dec2020,DZ,02_Winter2020,No,,,,No,,UTC -7,,,,,,,,,43,
DZ1_CC_20Jan2021,DZ,02_Winter2020,No,,,,No,,UTC -7,,,,,,,,,43,
DZ_CC_17Feb2021,DZ,02_Winter2020,No,,,,No,,UTC -7,,,,,,,,,43,
DZ_CC_25Jun2022,DZ,08_Summer2022,Yes,Yes,n/a,Yes,2022-09-05,photo,,,,,99,2236,4472,0,4472,,
EC1_CC_07Nov2020,EC1,01_Fall2020,No,,,,No,,,,,,,,,,,30,
EC1_CC_20Dec2020,EC1,02_Winter2020,No,,,,No,,,,,,,,,,,30,
EC1_CC_01Dec2021,EC1,06_Winter2021,Yes,Yes,n/a,Yes,2022-01-25,photo,,,,,59,32,64,0,64,,
ECT_CC_24Jun2022,EC1,08_Summer2022,Yes,Yes,n/a,Yes,2022-09-05,photo,,,,,101,1165,2330,0,2330,,
ECC_CC_24Jun2022,EC2,08_Summer2022,Yes,Yes,n/a,Yes,2022-09-05,photo,,,,,101,10043,20086,0,20086,,
GC15_CC_06Jun2021,GC15,04_Summer2021,No,,,,No,,UTC -7,,,,,,,,,,
GC15H_CC_17Sep2022,GC15H,09_Fall2022,No,,,,,,UTC -7,,,,,,,,,53,
GCBAC_CC_07May2021,GCBAC,03_Spring2021,,,,,,,UTC -7,,,,,,,,,42,deployment
GC22_CC_12Sep2021,GCBAC,05_Fall2021,No,,,,No,,UTC -7,,,,,,,,,44,
GCBAR_CC_02June2021,GCBAR,04_Summer2021,,,,,,,UTC -7,,,,,,,,,42,deployment
GCBB_CC_June2021,GCBB,04_Summer2021,,,,,,,UTC -7,,,,,,,,,,deployment
GCBH_CC_06May2021,GCBH,03_Spring2021,,,,,,,UTC -7,,,,,,,,,42,deployment
GCC_CC_03June2021,GCC,04_Summer2021,No,,,,No,,UTC -7,,,,,,,,,40,
GCETR_CC_16Jun2022,GCETRO,08_Summer2022,No,,,,No,,UTC -7,,,,,,,,,49,
GCET2_CC_02June2021,GCETRO,04_Summer2021,,,,,,,UTC -7,,,,,,,,,,deployment
GCHR_CC_03June2021,GCHR,04_Summer2021,,,,,,,UTC -7,,,,,,,,,40,deployment
GCHR_CC_08Dec2021,GCHR,06_Winter2021,Yes,Yes,n/a,Yes,2022-01-25,photo,UTC -7,,,,5,41,82,0,82,,
GCJH_CC_06May2021,GCJH,03_Spring2021,,,,,,,UTC -7,,,,,,,,,42,deployment
NRM_CC_29Jun2021,GCNRM,04_Summer2021,Yes,Yes,n/a,Yes,2022-06-03,photo,UTC -7,,,,21,193,386,0,386,,
GCPP_CC_03June2021,GCPP,04_Summer2021,,,,,,,UTC -7,,,,,,,,,40,deployment
GCRT_CC_03Jun2021,GCRT,04_Summer2021,No,,,,No,,UTC -7,,,,,,,,,40,
GCYL_CC_03June2021,GCYL,04_Summer2021,,,,,,,UTC -7,,,,,,,,,42,deployment
GCYL_CC_16Jun2022,GCYL,08_Summer2022,,,,,,,,,,,,,,,,,
ZHQ_CC_17Feb2021,HQW,02_Winter2020,Yes,Yes,n/a,,No,photo + video,UTC -7,,,,,38,77,38,115,,
HQW_CC_07Dec2020,HQW,02_Winter2020,No,,,,No,,,,,,,,,,,31,
HQ_CC_30Sep2022,HQW,09_Fall2022,Yes,,n/a,Yes,No,photo,,,,,97,903,1806,0,1806,55,
HQW_CC_15Nov2020,HQW,01_Fall2020,No,,,,No,,,,,,,,,,,,
HQW_CC_20Jan2021,HQW,02_Winter2020,No,,,,No,,,,,,,,,,,,
ZHQ_CC_13Jul2021,HQW,04_Summer2021,Yes,Yes,n/a,,No,photo + video,,,,,,,784,390,1174,,
HQ_CC_26Jun2022,HQW,08_Summer2022,Yes,Yes,n/a,Yes,2022-09-06,photo,,,,,,640,1280,0,1280,,
KC06_CC_13Jul2021,KC09,04_Summer2021,No,,,,No,,,,,,,,,,,,
KC9_CC_06Oct2021,KC09,05_Fall2021,Yes,Yes,n/a,Yes,No,photo,,,,,,339,678,0,678,,
KC9_CC_01Feb2022,KC09,06_Winter2021,Yes,Yes,n/a,Yes,No,photo,,,,,,141,282,0,282,,
LH_CC_15Dec2020,LH,02_Winter2020,No,,,,No,,,,,,,,,,,44,
LH_CC_23Sep2021,LH,05_Fall2021,No,,,,No,,,,,,,,,,,25,
LH_CC_30Sep2022,LH,09_Fall2022,Yes,,n/a,Yes,No,photo,,,,,98,265,530,0,530,55,
LH_CC_22Oct2020,LH,01_Fall2020,No,,,,No,,,,,,,,,,,,
LH_CC_19Apr2021,LH,03_Spring2021,Yes,Yes,n/a,,No,photo + video,,,,,60,72,144,72,216,,
LH_CC_25Jun2022,LH,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,,,,,101,250,500,0,500,,
MY1_CC_04May2022,MY1,07_Spring2022,Yes,Yes,n/a,n/a,n/a,empty,,,,,94,0,0,0,0,46,
MY1_CC_05Nov2020,MY1,01_Fall2020,No,,,,No,,,,,,,,,,,33,
MY1_CC_17Feb2021,MY1,02_Winter2020,No,,,,No,,,,,,,,,,,33,
MY1_CC_19Jan2021,MY1,02_Winter2020,No,,,,No,,,,,,,,,,,33,
MY4_CC_11Nov2020,MY4,01_Fall2020,No,,,,No,,,,,,,,,,,,
MY6_CC_07Dec2021,MY6,02_Winter2020,,,,,No,,,,,,,,,,,,
NL7_CC_15Nov2020,NL7,01_Fall2020,No,,,,No,,,,,,,,,,,,
NL7_CC_10Dec2020,NL7,02_Winter2020,No,,,,No,,,,,,,,,,,,
NL7_CC_19Jan2021,NL7,02_Winter2020,No,,,,No,,,,,,,,,,,,
OC_CC_20Dec2020,OC,02_Winter2020,No,,,,No,,,,,,,,,,,44,
OC_CC_01Oct2022,OC,09_Fall2022,Yes,,n/a,Yes,No,photo,,,,,98,1591,3182,0,3182,54,
OC_CC_14Nov2020,OC,01_Fall2020,No,,,,No,,,,,,,,,,,,
OC_CC_20Jan2021,OC,02_Winter2020,No,,,,No,,,,,,,,,,,,
OC_CC_14Jul2021,OC,04_Summer2021,Yes,Yes,n/a,Yes,2022-06-07,photo,,,,,155,2141,4282,0,4282,,
OC_CC_04Oct2021,OC,05_Fall2021,Yes,Yes,n/a,Yes,2022-06-06,photo,,,,,73,621,1242,0,1242,,
OC_CC_15Mar2022,OC,07_Spring2022,Yes,Yes,n/a,Yes,No,photo,,,,,103,414,828,0,828,,
OC_CC_26Jun2022,OC,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,,,,,102,9979,19957,0,19957,,
PC_CC_27Jun2022,PC1,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,,,,,101,448,896,0,896,,
RWH_CC_29Sep2022,RWH,09_Fall2022,Yes,,n/a,Yes,No,photo,,,,,95,113,226,0,226,54,
RW_NL4_CC_25Oct2020,RWH,01_Fall2020,No,,,,No,,,,,,,,,,,,
RWHill_CC_20Dec2020,RWH,02_Winter2020,No,,,,No,,,,,,,,,,,,5
RWHill_CC_20Jan2021,RWH,02_Winter2020,No,,,,No,,,,,,,,,,,,5
RWHill_CC_16Feb2021,RWH,02_Winter2020,No,,,,No,,,,,,,,,,,,5
RWH_CC_01Oct2021,RWH,05_Fall2021,Yes,Yes,n/a,Yes,2022-06-03,photo,,,,,70,121,363,0,363,,
RWH_CC_27Jun2022,RWH,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,,,,,101,9955,19910,0,19910,,
RWP_CC_28Sep2022,RWP,09_Fall2022,Yes,,n/a,Yes,No,photo,,,,,93,93,186,0,186,54,
RWPipe_CC_20Dec2020,RWP,02_Winter2020,No,,,,No,,,,,,,,,,,,44
RWP_CC_27Jun2022,RWP,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,,,,,103,1016,2032,0,2032,,
SB1_CC_07Nov2020,SB,01_Fall2020,No,,,,No,,,,,,,,,,,32,
SB1_CC_20Dec2020,SB,02_Winter2020,No,,,,No,,,,,,,,,,,32,
SGP_CC_19July2021,SGP,04_Summer2021,,,,,,,,,,,,,,,,,deployment
WH_CC_13Nov2020,WH,01_Fall2020,No,,,,No,,,,,,,,,,,29,
WH_CC_15Dec2020,WH,02_Winter2020,No,,,,No,,,,,,,,,,,29,
WH_CC_30Sep2022,WH,09_Fall2022,Yes,,n/a,Yes,No,photo,,,,,98,1638,3276,0,3276,55,
WH_CC_25Jun2022,WH,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,,,,,101,392,784,0,784,,
ZL01_CC_29Sep2022,ZL1,09_Fall2022,Yes,,,,,,,,,,,,,,,54,
ZL01_CC_10Dec2020,ZL1,02_Winter2020,Yes,Yes,No,,No,photo + video,,,,,,,46,22,68,,
ZL01_CC_02Aug2021,ZL1,04_Summer2021,Yes,Yes,2022-04-09,Yes,No,video,,,,,,,0,9,9,,
ZL10_CC_29Sep2022,ZL10,09_Fall2022,Yes,Yes,No,Yes,No,video,,,,,94,230,0,230,230,54,
ZL02_CC_29Sep2022,ZL2,09_Fall2022,Yes,,No,Yes,No,video,,,,,94,5,0,5,5,54,
ZL03_CC_04Nov2020,ZL3,01_Fall2020,No,,,,No,,,,,,,,,,,28,
ZL03_CC_16Feb2021,ZL3,02_Winter2020,No,,,,No,,,,,,,,,,,28,
ZL03_CC_29Sep2022,ZL3,09_Fall2022,Yes,,No,Yes,No,video,,,,,94,602,0,602,602,54,
ZL03_CC_02Aug2021,ZL3,04_Summer2021,Yes,Yes,2022-04-09,Yes,No,video,,,,,,,0,9,9,,
ZL04_CC_04Nov2020,ZL4,01_Fall2020,No,,,,No,,,,,,,,,,,34,
ZL04_CC_10Dec2020,ZL4,02_Winter2020,No,,,No,No,photo + video,,,,,,,,,,34,
ZL04_CC_16Feb2021,ZL4,02_Winter2020,No,,,,No,,,,,,,,,,,34,
ZL06_CC_29Sep2022,ZL6,09_Fall2022,Yes,,No,Yes,No,video,,,,,94,17,0,17,17,54,
ZL07_CC_04Nov2020,ZL7,01_Fall2020,,,,,,,,,,,,,,,,27,deployment
ZL09_CC_29Sep2022,ZL9,09_Fall2022,Yes,,No,Yes,No,video,,,,,94,12,0,12,12,54,
FrontOffice_CC_19Jan2021,,02_Winter2020,Yes,Yes,2022-04-26,Yes,No,video,UTC -7,,,,,8,0,8,8,,
GCET1_CC_02June2021,,04_Summer2021,No,,,,No,,UTC -7,,,,,,,,,,
GCET3_CC_02June2021,,04_Summer2021,No,,,,No,,UTC -7,,,,,,,,,,
TC_CC_06Jun2021,,04_Summer2021,Yes,Yes,n/a,Yes,No,photo,UTC -7,,,,,5877,11754,0,11754,,
ETC_CC_24Jun2022,,08_Summer2022,Yes,Yes,n/a,Yes,2022-09-07,photo,,,,,,9648,19297,0,19297,,
