hashtag_id,common_name,Class,scientific_name,tag,taxon_rank,NPSpecies_GRCA_status,NPSpecies_ZION_status
ht_095,,classification flag,,#other_id,classification flag,,
ht_096,,classification flag,Ave,#otherbird,class,,
ht_097,Animal,Animalia,Animalia,#partial_animal,phylum,,
ht_098,Pinyon jay,Ave,Gymnorhinus cyanocephalus,#pinyon_jay,species,,
ht_099,,Reptilia,Sceloporus tristichus,#plateau_fence_lizard,species,,
ht_100,crowd annotation,non-animal id,,#predation,non-animal id,,
ht_101,Pygmy Nuthatch,Ave,Sitta pygmaea,#pygmy_nuthatch,species,,
ht_102,Gambel's quail,Ave,Callipepla gambelii,#quail,species,,
ht_103,Red-Tailed Hawk,Ave,Buteo jamaicensis,#redtailedhawk,species,,
ht_104,Greater Roadrunner,Ave,Geococcyx californianus,#road_runner,species,,
ht_105,Greater Roadrunner,Ave,Geococcyx californianus,#roadrunner,species,,
ht_106,American Robin,Ave,Turdus migratorius,#robin,species,,
ht_107,Rock Wren,Ave,Salpinctes obsoletus,#rock_wren,species,,
ht_108,Sage thrasher,Ave,Oreoscoptes montanus,#sage_thrasher,species,,
ht_109,Savannah Sparrow,Ave,Passerculus sandwichensis,#savannah_sparrow,species,,
ht_110,Say's Phoebe,Ave,Sayornis saya,#says_phoebe,species,,
ht_111,Say's Phoebe,Ave,Sayornis saya,#Says_phoebe,species,,
ht_112,Woodhouse's Scrub-Jay,Ave,Aphelocoma woodhouseii,#scrub,species,,
ht_113,Woodhouse's Scrub-Jay,Ave,Aphelocoma woodhouseii,#scrubjay,species,,
ht_114,,non-animal id,,#Season,non-animal id,,
ht_115,,Ave,Ave,#small_bird,class,,
ht_116,Song Sparrow,Ave,Melospiza melodia,#song_sparrow,species,,
ht_117,sparrow,Ave,Passeridae,#sparrow,family,,
ht_118,Spotted Towhee,Ave,Pipilo maculatus,#spotted_towhee,species,,
ht_119,Steller's Jay,Ave,Cyanocitta stelleri,#Steller,species,,
ht_120,Steller's Jay,Ave,Cyanocitta stelleri,#steller,species,,
ht_121,Steller's Jay,Ave,Cyanocitta stelleri,#stellers_jay,species,,
ht_122,Summer Tanager,Ave,Piranga rubra,#summer_tanager,species,,
ht_123,,Chordata,Chordata,#tail_only,phylum,,
ht_124,Thrasher,Ave,Mimidae,#thrasher,family,,
ht_125,Thrush,Ave,Turdidae,#thrush,family,,
ht_126,Canyon towhee,Ave,Melozone fusca,#towhee,species,,
ht_127,,non-animal id,,#tunneling,non-animal id,,
ht_128,,Ave,Meleagris gallopavo,#turkey,species,,
ht_129,Turkey Vulture,Ave,Cathartes aura,#turkey_vulture,species,,
ht_130,,classification flag,,#unknown,classification flag,,
ht_131,,Chordata,Chordata,#vertebrate_only,phylum,,
ht_132,Vireos,Ave,Vireonidae,#vireo,family,,
ht_133,Warbler,Ave,Passeriformes,#warbler,order,,
ht_134,Western Bluebird,Ave,Sialia mexicana,#western_bluebird,species,,
ht_135,,incomplete hashtag,,#white,incomplete hashtag,,
ht_136,White-crowned Sparrow,Ave,Zonotrichia leucophrys,#white_crowned_sparrow,species,,
ht_137,White-breasted Nuthatch,Ave,Sitta carolinensis,#white-breasted_nuthatch,species,,
ht_138,Woodhouse's Scrub-Jay,Ave,Aphelocoma woodhouseii,#woodhouse_scrub_jay,species,,
ht_139,Woodhouse's Scrub-Jay,Ave,Aphelocoma woodhouseii,#woodhouses_scrub_jay,species,,
ht_140,Woodhouse's Scrub-Jay,Ave,Aphelocoma woodhouseii,#woodhousescrub,species,,
ht_141,Northern Flicker,Ave,Colaptes auratus,#Woodpecker,species,,
ht_142,Wren,Ave,Troglodytidae,#wren,family,,
ht_143,Yellow-breasted Chat,Ave,Icteria virens,#yellow_breasted_chat,species,,
ht_144,Yellow-eyed junco,Ave,Junco phaeonotus,#yellow_eyed_junco,species,,
ht_145,Yellow-rumped Warbler,Ave,Setophaga coronata,#yellow_rumped_warbler,species,,
ht_146,Yellow warbler,Ave,Setophaga petechia,#yellow_warbler,species,,
