TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,updated_at,location_list_0,location_list_1,class.count,top_identity,top_value,consensus_pct
GCETRF_CC_13Sep2021_06170049_frame1,06170049_frame_101.png,6/17/2021 19:10,06170049_frame_102.png,6/17/2021 19:10,99750702,9858,26731,120984,10,2024-06-25 17:29:10 UTC,classification_count,2024-06-03 20:27:45 UTC,2024-06-03 20:27:45 UTC,https://panoptes-uploads.zooniverse.org/subject_location/f2128720-27f1-4a01-8867-b31e6f728732.png,https://panoptes-uploads.zooniverse.org/subject_location/1d9282c9-d752-4c0f-a0a6-0158752817c0.png,10,NOTHINGHERE,10,100
GCETRF_CC_13Sep2021_06170050_frame1,06170050_frame_101.png,6/17/2021 19:12,06170050_frame_102.png,6/17/2021 19:12,99750703,9858,26731,120984,10,2024-06-25 22:11:15 UTC,classification_count,2024-06-03 20:27:46 UTC,2024-06-03 20:27:46 UTC,https://panoptes-uploads.zooniverse.org/subject_location/0918d744-9c53-450a-99f5-6f19b35d5d39.png,https://panoptes-uploads.zooniverse.org/subject_location/1de316d6-5374-42b6-ae69-0fc12abce7d9.png,10,NOTHINGHERE,9,90
GCETRF_CC_13Sep2021_06170051_frame1,06170051_frame_101.png,6/17/2021 19:13,06170051_frame_102.png,6/17/2021 19:13,99750705,9858,26731,120984,10,2024-06-26 04:00:02 UTC,classification_count,2024-06-03 20:27:47 UTC,2024-06-03 20:27:47 UTC,https://panoptes-uploads.zooniverse.org/subject_location/94c0eb39-3ccd-4c9c-9167-d508e8157e62.png,https://panoptes-uploads.zooniverse.org/subject_location/0f66608a-6925-4e37-8c53-83ebacf4167e.png,10,NOTHINGHERE,9,90
GCETRF_CC_13Sep2021_06210052_frame1,06210052_frame_101.png,6/22/2021 1:00,06210052_frame_102.png,6/22/2021 1:00,99750707,9858,26731,120984,10,2024-06-25 05:38:09 UTC,classification_count,2024-06-03 20:27:49 UTC,2024-06-03 20:27:49 UTC,https://panoptes-uploads.zooniverse.org/subject_location/67ddd164-3eaf-4101-a1ea-4b53d49ae1c4.png,https://panoptes-uploads.zooniverse.org/subject_location/d7020240-6015-4cf2-8343-32def64335cf.png,10,NOTHINGHERE,7,70
GCETRF_CC_13Sep2021_06220054_frame1,06220054_frame_101.png,6/23/2021 5:25,06220054_frame_102.png,6/23/2021 5:25,99750709,9858,26731,120984,10,2024-06-26 11:42:00 UTC,classification_count,2024-06-03 20:27:51 UTC,2024-06-03 20:27:51 UTC,https://panoptes-uploads.zooniverse.org/subject_location/042fdf49-c197-4dd5-8adc-302b74df069f.png,https://panoptes-uploads.zooniverse.org/subject_location/b8f32de8-8da5-4625-8c98-bf4a98084526.png,10,PARTIALANIMAL,9,90
GCETRF_CC_13Sep2021_06220055_frame1,06220055_frame_101.png,6/23/2021 7:55,06220055_frame_102.png,6/23/2021 7:55,99750710,9858,26731,120984,10,2024-06-25 22:08:33 UTC,classification_count,2024-06-03 20:27:51 UTC,2024-06-03 20:27:51 UTC,https://panoptes-uploads.zooniverse.org/subject_location/ec12e7be-6c0e-4ad1-8fee-97ea4547cdd8.png,https://panoptes-uploads.zooniverse.org/subject_location/19f632c4-4b6d-4888-a688-6f6777eec9c6.png,10,PARTIALANIMAL,7,70
GCETRF_CC_13Sep2021_06220056_frame1,06220056_frame_101.png,6/23/2021 9:50,06220056_frame_102.png,6/23/2021 9:50,99750712,9858,26731,120984,10,2024-06-24 18:02:46 UTC,classification_count,2024-06-03 20:27:52 UTC,2024-06-03 20:27:52 UTC,https://panoptes-uploads.zooniverse.org/subject_location/17509ef1-e36b-4566-b568-4975697dcd59.png,https://panoptes-uploads.zooniverse.org/subject_location/834e548a-79cd-4f30-a619-653a7070ed36.png,10,NOTHINGHERE,10,100
GCETRF_CC_13Sep2021_06220057_frame1,06220057_frame_101.png,6/23/2021 9:51,06220057_frame_102.png,6/23/2021 9:51,99750714,9858,26731,120984,10,2024-06-24 19:48:38 UTC,classification_count,2024-06-03 20:27:54 UTC,2024-06-03 20:27:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/8355ed88-cf4a-4e7d-a61f-982821609484.png,https://panoptes-uploads.zooniverse.org/subject_location/550b4088-1ec8-432a-b275-99ee467d8986.png,10,PARTIALANIMAL,6,60
GCETRF_CC_13Sep2021_06240059_frame1,06240059_frame_101.png,6/25/2021 4:12,06240059_frame_102.png,6/25/2021 4:12,99750716,9858,26731,120984,10,2024-06-25 20:16:51 UTC,classification_count,2024-06-03 20:27:55 UTC,2024-06-03 20:27:55 UTC,https://panoptes-uploads.zooniverse.org/subject_location/f6731ff5-9507-476e-b728-6da9e4efb631.png,https://panoptes-uploads.zooniverse.org/subject_location/8ee0510f-4082-4c89-80db-2876111d3f63.png,10,PARTIALANIMAL,4,40
GCETRF_CC_13Sep2021_06270061_frame1,06270061_frame_101.png,6/28/2021 5:55,06270061_frame_102.png,6/28/2021 5:55,99750717,9858,26731,120984,10,2024-06-26 04:57:45 UTC,classification_count,2024-06-03 20:27:56 UTC,2024-06-03 20:27:56 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a6b1cade-f67e-4616-857a-a1b6f3e3b854.png,https://panoptes-uploads.zooniverse.org/subject_location/9097dd8b-c773-4e0e-ab9c-77e752761862.png,10,RINGTAIL,6,60
GCETRF_CC_13Sep2021_06280062_frame1,06280062_frame_101.png,6/29/2021 6:23,06280062_frame_102.png,6/29/2021 6:23,99750720,9858,26731,120984,10,2024-06-26 07:46:54 UTC,classification_count,2024-06-03 20:27:58 UTC,2024-06-03 20:27:58 UTC,https://panoptes-uploads.zooniverse.org/subject_location/84ffde23-ce2c-4996-afe4-b29444d66709.png,https://panoptes-uploads.zooniverse.org/subject_location/28e53967-b02b-48bd-b990-fa083ae1869a.png,10,NOTHINGHERE,10,100
GCETRF_CC_13Sep2021_07010063_frame1,07010063_frame_101.png,7/1/2021 12:28,07010063_frame_102.png,7/1/2021 12:28,99750721,9858,26731,120984,10,2024-06-26 10:51:21 UTC,classification_count,2024-06-03 20:27:58 UTC,2024-06-03 20:27:58 UTC,https://panoptes-uploads.zooniverse.org/subject_location/6021c123-0b6d-45e7-aeda-91139b4abe1a.png,https://panoptes-uploads.zooniverse.org/subject_location/b3912e14-a997-4b3a-b997-d79ee7de4794.png,10,PARTIALANIMAL,6,60
GCETRF_CC_13Sep2021_07150064_frame1,07150064_frame_101.png,7/15/2021 15:54,07150064_frame_102.png,7/15/2021 15:54,99750722,9858,26731,120984,10,2024-06-26 04:06:54 UTC,classification_count,2024-06-03 20:27:58 UTC,2024-06-03 20:27:58 UTC,https://panoptes-uploads.zooniverse.org/subject_location/94649c94-3ee6-4753-9b3c-e3d1079d85c9.png,https://panoptes-uploads.zooniverse.org/subject_location/27defc24-7dc2-4765-8b4c-5aed2e54462b.png,10,PARTIALANIMAL,4,40
GCETRF_CC_13Sep2021_07240065_frame1,07240065_frame_101.png,7/25/2021 8:17,07240065_frame_102.png,7/25/2021 8:17,99750723,9858,26731,120984,10,2024-06-26 05:51:44 UTC,classification_count,2024-06-03 20:27:59 UTC,2024-06-03 20:27:59 UTC,https://panoptes-uploads.zooniverse.org/subject_location/3d36b1ea-90dc-46ca-92f2-6e96637a69bd.png,https://panoptes-uploads.zooniverse.org/subject_location/6974fcc8-c95a-426f-8f50-73d8ec5a0555.png,10,PARTIALANIMAL,6,60
GCETRF_CC_13Sep2021_07280066_frame1,07280066_frame_101.png,7/29/2021 9:03,07280066_frame_102.png,7/29/2021 9:03,99750730,9858,26731,120984,10,2024-06-24 00:52:24 UTC,classification_count,2024-06-03 20:28:02 UTC,2024-06-03 20:28:02 UTC,https://panoptes-uploads.zooniverse.org/subject_location/1606ccbf-676e-4f9b-a7f2-069740a854a7.png,https://panoptes-uploads.zooniverse.org/subject_location/0a7fccaf-dbf4-487c-b698-3e97ff766d12.png,10,PARTIALANIMAL,8,80
GCETRF_CC_13Sep2021_08020069_frame1,08020069_frame_101.png,8/3/2021 2:08,08020069_frame_102.png,8/3/2021 2:08,99750731,9858,26731,120984,10,2024-06-26 09:19:30 UTC,classification_count,2024-06-03 20:28:02 UTC,2024-06-03 20:28:02 UTC,https://panoptes-uploads.zooniverse.org/subject_location/14ce98c8-05bc-4879-bd39-b3f905d3215e.png,https://panoptes-uploads.zooniverse.org/subject_location/d12676de-1166-46db-9914-e89bd1d76fb1.png,10,PARTIALANIMAL,9,90
GCETRF_CC_13Sep2021_08020070_frame1,08020070_frame_101.png,8/3/2021 2:09,08020070_frame_102.png,8/3/2021 2:09,99750734,9858,26731,120984,10,2024-06-25 03:00:42 UTC,classification_count,2024-06-03 20:28:03 UTC,2024-06-03 20:28:03 UTC,https://panoptes-uploads.zooniverse.org/subject_location/656c1d31-acc8-4e4b-9c44-72b79cb31599.png,https://panoptes-uploads.zooniverse.org/subject_location/4851003b-8f49-4144-aa95-c26e1d7c24e6.png,10,PARTIALANIMAL,7,70
