source_id,Citation,PublicationYear,method,Location,Latitude,Longitude,n_Scat,n_organ,n_Observation,dietary_analysis_unit,data_extracted,notes
Nava-Vargas et al. 1999,"Nava-Vargas, V., J. D. Tejero-Díez y C. B. Chávez-Tapia. 1999. Hábitos  alimentarios  del  cacomixtle  Bassariscus  astutus (Carnivora: Procyonidae) en un matorral xerófilo de Hidalgo, México. Anales del Instituto de Biología, UNAM. Serie Zoología, 70(1): 51-63.",1999,fresh scat,"ejido de Plan Colorado, Atotonilco El Grande, Hidalgo, México",20° 26' 16° a 20°  26 47' N y 98° 41' 17' a 98° 41' 36' W,,98,n/a,n/a,,yes,likely duplicat of Nava-Vargas 1994
Navarrete Ozuna 2011,"Navarrete Ozuna, LA. Hábitos Alimentarios del Cacomixtle Bassariscus  astutus(Carnivora:  Procyonidae)  enTlazala  de  Fabela,  Estado de México. Thesis. UNAM",2011,fresh scat,"“la palma” localizada en Tlazala de Fabela, Estado de México",,,39,n/a,n/a,,yes,
Roadman 2014,"Roadman AA. Ringtail distribution, dermatoglyphics, and diet in Zion National Park, Utah.",2014,fresh scat,"Zion National Park, Utah",,,,,,,yes,
Rodríguez-Estrella et al. 2000,"Rodríguez-Estrella R, Moreno AR, Tam KG. Spring diet of the endemic ring-tailed cat (Bassariscus astutus insulicola) population on an island in the Gulf of California, Mexico. Journal of Arid Environments. 2000 Feb 1;44(2):241-6.",2000,fresh scat,"Isla de San José, ubicada en el Golfo de California, México",,,104,n/a,n/a,,yes,
Sanchez 2016,"Sánchez S, Eduardo R. Influencia de los recursos antropogénicos en la abundancia y dieta del babisuri (Bassariscus astutus saxicola Merriam, 1897) en el complejo Insular Espíritu Santo, BCS, México.",2016,fresh scat,"Insular Complex, Espiritu Santo, Baja Sur, Mexico",24° 24 ́y 24° 36 ́N y 110° 18 ́y 110° 27° O,,167,n/a,n/a,,yes,
Stake & Cimprich 2003,"Stake MM, Cimprich DA. Using video to monitor predation at Black-capped Vireo nests. The Condor. 2003 May 1;105(2):348-57.",2003,camera trap,"Fort Hood, Texas",,,n/a,n/a,1,,yes,
Taylor 1954,"Taylor, WP. 1954. Food habits and notes on life history of the ring-tailed cat in Texas. J. Mammal. 35:55-63.",1954,whole specimens,"Edward's Plateau, Texas",,,n/a,"175 stomachs, 171 small intestines, 224 colons",unclear,,yes,
Toweill & Treer 1977,Toweill & Treet 1977. Food habits of ringtails in the Edwards Plateau region of Texas. J. Mammal. 58:660-663.,1977,fresh scat,"Kerr Management Area, Kerr County, Texas",,,182,n/a,n/a,,yes,
Trapp 1973,Dissertation,1973,fresh scat,"Zion Canyon, Zion National Park, Utah",,,227,n/a,n/a,,yes,
Villanueva 2008,"Villanueva, S. M. G. 2008. Contribución  al  conocimiento de los hábitos alimentarios  del cacomixtle Bassariscus astutus (Carnivora: Procyonidae), en la Comunidad las Animas, Chapa de Mota, Estado de México.Tesis de licenciatura  (Biólogo). Facultad  de  Estudios  Superiores  Iztacala,  UNAM.  México.  120  pp.",2008,fresh scat,"“Las Ánimas”, of the municipality of Chapa de Mota, State of Mexico",,,220,n/a,n/a,,yes,
White and Lloyd 1962,"White, CM and GD Lloyd. Predation on peregrines by ringtails. Auk 79:277.",1962,observation,,,,n/a,n/a,1,,yes,
Wood 1954,Wood JE. 1954. Food habits of furbearers of the upland Post Oak Region in Texas. J. Mammal. 35:406-415.,1954,fresh scat; whole specimen,"Post Oak Woods, eastern Texas",,,19,10 digestive tracts,n/a,,yes,
Wyatt 1993,"Wyatt DT. Home range size, habitat use, and food habits of ringtails (Bassariscus astutus) in a Central Valley riparian forest, Sutter Co., California (Doctoral dissertation, California State University, Sacramento).",1993,fresh scat,"Abbott Lake Unit of the Feather River Wildlife Area (AbbottLake), Sutter Co.,California.",,,172,n/a,n/a,,yes,
