Source,common name,ReportedName,IUCN_scientific_name,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage,diet_category,notes
Nava-Vargas 1994,,Opuntia imbricata,,Cylindropuntia imbricata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia imbricata,,,
Wood 1954,Crayfish,crayfish,,Decapoda,ITIS,order,Animalia,Arthropoda,Malacostraca,Decapoda,x,x,x,,,
Ackerson and Harveson 2006,Earwig,Dermaptera,,Dermaptera,ITIS,order,Animalia,Arthropoda,Insecta,Dermaptera,x,x,x,,,
Rodríguez-Estrella et al. 2000,Earwig,Dermaptera,,Dermaptera,ITIS,order,Animalia,Arthropoda,Insecta,Dermaptera,x,x,x,,,
Wyatt 1993,Earwig,earwig,not_specified,Dermaptera,ITIS,order,Animalia,Arthropoda,Insecta,Dermaptera,x,x,x,,,
Mead et al. 2006,Ring-necked snake,Diadophis punctatus,,Diadophis punctatus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Diadophis,Diadophis punctatus,,,
Navarrete-Ozuna 2011,Virginia opossum,Didelphis virginiana,,Didelphis virginiana,ITIS,species,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana,,,
Ackerson and Harveson 2006,Persimmons,persimmon,,Diospyros,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,x,seed,,
Martin et al. 1961,Persimmons,Persimmon,,Diospyros,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,x,,,
Wood 1954,Persimmons,persimmons,,Diospyros,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,x,,,
Toweill & Treer 1977,Texas persimmons,Diospyros texana,,Diospyros texana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros texana,,,
Taylor 1954,Texas persimmons,Mexican persimmons,,Diospyros texana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros texana,,,
Taylor 1954,Texas persimmons,Mexican persimmons,,Diospyros texana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros texana,,,
Trapp 1973,Millipede,Diplopoda,,Diplopoda,ITIS,class,Animalia,Arthropoda,Diplopoda,x,x,x,x,,,
Wood 1954,Millipede,millipedes,,Diplopoda,ITIS,class,Animalia,Arthropoda,Diplopoda,x,x,x,x,,,
Mead & van Devender 1981,Kangaroo rat,Dipodomys sp.,,Dipodomys,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,x,,,
Rodríguez-Estrella et al. 2000,San Jose Island kangaroo rat,Dipodomys insularis,,Dipodomys merriami insularis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys merriami insularis,,,
Calderon Vega 2002,Desert Iguana,Dipsosaurus dorsalis,,Dipsosaurus dorsalis,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Diposaurus,Dipsosaurus dorsalis,,,
Harrison 2012,Desert Iguana,Dipsosaurus dorsalis,,Dipsosaurus dorsalis,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Diposaurus,Dipsosaurus dorsalis,,,
Rodríguez-Estrella et al. 2000,Desert Iguana,Dipsosaurus dorsalis,,Dipsosaurus dorsalis,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Diposaurus,Dipsosaurus dorsalis,,,
Sanchez 2016,Desert Iguana,Dipsosaurus dorsalis,,Dipsosaurus dorsalis,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Diposaurus,Dipsosaurus dorsalis,,,
Alexander et al. 1994,Fly,Diptera,not_specified,Diptera,ITIS,order,Animalia,Arthropoda,Insecta,Diptera,x,x,x,,,
Navarrete-Ozuna 2011,Fly,Diptera (Larvas),,Diptera,ITIS,order,Animalia,Arthropoda,Insecta,Diptera,x,x,x,,,
Taylor 1954,Fly,flies,,Diptera,ITIS,order,Animalia,Arthropoda,Insecta,Diptera,x,x,x,,,
Alexander et al. 1994,Bald-faced hornet,Dolichovespula,not_specified,Dolichovespula,ITIS,genus,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula,x,,,
Lambert & Demarais 2001,,Trophy Factors Deer Pellet,,Domestic animal food,,human-influenced,,,,,,,,,Anthropogenic,
Nava-Vargas 1994,Hedgehog cactus,Echinocereus cinerascens,,Echinocereus cinerascens,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Cactaceae,Echinocereus,Echinocereus cinerascens,x,,,
Nava-Vargas 1994,Hedgehog cactus,Echinocereus cinerascens,,Echinocereus cinerascens,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Cactaceae,Echinocereus,Echinocereus cinerascens,,,,
Trapp 1973,Hedgehog cactus,Echinocerus spp. ,,Echinocerus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Cactaceae,Echinocereus,x,x,,,
Calderon Vega 2002,Little blue heron,Egretta caerulea,,Egretta caerulea,ITIS,species,Animalia,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta caerulea,x,,,
Alexander et al. 1994,Desert stink beetles,Eleodes,not_specified,Eleodes,EOL,genus,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,x,,,
Alexander et al. 1994,Western alligator lizard,Elgaria (skin),not_specified,Elgaria,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,x,,,
Mead et al. 2006,Western alligator lizard,Elgaria sp.,,Elgaria,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,x,,,
Mead et al. 2006,Northern alligator lizard,Elgaria coerulea,,Elgaria coerulea,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,Elgaria coerulea,,,
Mead et al. 2006,Southern alligator lizard,Elgaria multicarinata,,Elgaria multicarinata,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,Elgaria multicarinata,,,
Sanchez 2016,Brittlebush,Encelia farinosa,,Encelia farinosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Encelia,Encelia farinosa,,,
Mead et al. 2006,Ensatina,Ensatina escholtzi,,Ensatina escholtzi,ITIS,species,Animalia,Chordata,Amphibia,Caudata,Plethodintidae,Ensatina,Ensatina escholtzi,,,
Ackerson and Harveson 2006,Jointfir,Ephedra sp. ,,Ephedra,ITIS,genus,Plantae,,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,x,,,
Grinnell et al. 1937,Heath,huckleberries,,Ericaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Asteranae,Ericales,Ericaceae,x,,,
Cisneros-Moreno & Martínez-Corone 2019,Loquat,Eriobotrya,,Eriobotrya,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Eriobotrya,x,,,
Ackerson and Harveson 2006,Eublepharis gecko,Eublepharidae,,Eublepharidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,x,x,,,
Mead et al. 2006,Gilbert's skink,Eumeces gilberti,,Eumeces gilberti,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eumeces,Eumeces gilberti,,,
Mead et al. 2006,Western skink,Eumeces skiltonianus,,Eumeces skiltonianus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eumeces,Eumeces skiltonianus,,,
Nava-Vargas 1994,Thymeleaf sandmat,Euphorbia serpyllifolia,,Euphorbia serpylifolia,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia serpylifolia,,,
Ackerson and Harveson 2006,Peas,Fabaceae,,Fabaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,x,x,,,
Rodríguez-Estrella et al. 2000,Pea,Leguminosae,,Fabaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,x,x,,,
White and Lloyd 1962,Peregrine falcon,Falco peregrinus,,Falco peregrinus,ITIS,species,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus,,adult,
Alexander et al. 1994,Domestic cat,Felis catus,,Felis catus,ITIS,species,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,
Nava-Vargas 1994,Electrode cactus,Ferocactus histrix,,Ferocactus histrix,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cataceae,Ferocactus,Ferocactus histrix,,,
Nava-Vargas 1994,Electrode cactus,Ferocactus histrix,,Ferocactus histrix,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cataceae,Ferocactus,Ferocactus histrix,,,
Roadman 2014,,Canvas,,Fiber,,human-influenced,,,Human-Influenced,,,,,,,
Castellanos Morales et al. 2008,,cardboard,,Fiber,,human-influenced,,,Human-Influenced,,,,,,,
Speir et al. 2021,Clorox Wipe,Clorox Wipe,,Fiber,,human-influenced,,,Human-Influenced,,,,,,,
Roadman 2014,,Fabric,,Fiber,,human-influenced,,,Human-Influenced,,,,,,,
Speir et al. 2021,Foam,foam,,Fiber,,human-influenced,,,Human-Influenced,,,,,,,
Speir et al. 2021,Insulation,Insulation,,Fiber,,human-influenced,,,Human-Influenced,,,,,,,
Speir et al. 2021,Rocks,Rocks,,Fiber,,human-influenced,,,Human-Influenced,,,,,,,
Roadman 2014,Rope,rope,not_specified,Fiber,,human-influenced,,,Human-Influenced,,,,,,,
Speir et al. 2021,Rope,rope,,Fiber,,human-influenced,,,Human-Influenced,,,,,,,
Cisneros-Moreno & Martínez-Corone 2019,Fig,Ficus sp.,,Ficus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,x,,,
Lemoine 1977,,figs ,,Ficus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,x,,,
Wyatt 1993,Common fig,common fig,,Ficus carica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus carica,,,
Koch & Brody 1981,Common fig,Ficus carica,Ficus carica,Ficus carica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus carica,,seeds,
Calderon Vega 2002,Rock fig,Ficus palmeri,,Ficus palmeri,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus palmeri,,,
Sanchez 2016,Rock fig,Ficus palmeri,,Ficus palmeri,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus palmeri,,,
Roadman 2014,,Aluminum Foil,,Foil,,human-influenced,,,Human-Influenced,,,,,,,
Speir et al. 2021,Foil,Aluminum foil,,Foil,,human-influenced,,,Human-Influenced,,,,,,,
Trapp 1973,,foil,,Foil,,human-influenced,,,Human-Influenced,,,,,,,
Speir et al. 2021,Foil,Foil,,Foil,,human-influenced,,,Human-Influenced,,,,,,,
Calderon Vega 2002,Aluminum,papel alminio,,Foil,,human-influenced,Human-Influenced,,Human-Influenced,,,,,,,
Sanchez 2016,Aluminum,Papel alumino,,Foil,,human-influenced,Human-Influenced,,Human-Influenced,,,,,,,
Calderon Vega 2002,,Forchhammeria watsonii,,Forchamera watsonii,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Forchhammeria,Forchhammeria watsonii,,,
Calderon Vega 2002,Swamp privet,Forestiera macrocarpa,,Forestiera macrocarpa,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Forestiera,Forestiera macrocarpa,,,
Cisneros-Moreno & Martínez-Corone 2019,Earwig,Forficula,,Forficula,ITIS,genus,Animalia,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,x,,,
Wyatt 1993,Ant,ant,not_specified,Formicidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,x,x,,,
Taylor 1954,Ant,ants,,Formicidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,x,x,,,
Speir et al. 2021,Ant,Formicidae,,Formicidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,x,x,,,
Trapp 1973,Ant,Formicidae,,Formicidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,x,x,,,
Koch & Brody 1981,Ant,Formicidea spp.,not_specified,Formicidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,x,x,,,
Navarrete-Ozuna 2011,Ant,Hymenoptera Fam. Formicidae,,Formicidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,x,x,,,
Wyatt 1993,Strawberry,strawberry,Fragaria ananassa,Fragaria X ananassa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria X ananassa,,,
Calderon Vega 2002,American coot,Fulica americana,,Fulica americana,ITIS,species,Animalia,Chordata,Aves,Gruliformes,Rallidae,Fulica,Fulica americana,,,
Cisneros-Moreno & Martínez-Corone 2019,Fowls,Galliformes,,Galliformes,ITIS,order,Animalia,Chordata,Aves,Galliformes,x,x,x,,eggs,
Cisneros-Moreno & Martínez-Corone 2019,Red junglefowl,Gallus gallus,,Gallus gallus,ITIS,species,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,,,
Alexander et al. 1994,Shallal,Gaultheria shallon,Gaultheria shallon,Gaultheria shallon,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Gaultheria,Gaultheria shallon,,fruit,
Roadman 2014,Pocket gopher,Pocket Gophers,,Geomyidae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,x,x,,,
Alexander et al. 1994,Northern flying squirrel,Glaucomys sabrinus,,Glaucomys sabrinus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Glaucomys,Glaucomys sabrinus,,,
Wood 1954,Honey Locust,honey locust,,Gleditsia triacanthos,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia,Gleditsia triacanthos,,,
Wyatt 1993,Crickets,crickets,,Gryllidae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,x,x,,,
Calderon Vega 2002,Cricket,Orthoptera Gryllidae,,Gryllidae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,x,x,,,
Cisneros-Moreno & Martínez-Corone 2019,house finch,Haemorus mexicanus,,Haemorhous mexicanus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,,,
Roadman 2014,Sunflower,Sunflower,not_specified,Helianthus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,x,seed casing,,
Alexander et al. 1994,Darkling beetle,Helops,not_specified,Helops,EOL,genus,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Helops,x,,,
Rodríguez-Estrella et al. 2000,True bug,Hemiptera,,Hemiptera,ITIS,order,Animalia,Arthropoda,Insecta,Hemiptera,x,x,x,,,
Nava-Vargas 1994,Wingpetal,Heterosperma pinnatum,,Heterosperma pinnatum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Heterosperma,Heterosperma pinnatum,,,
Mead et al. 2006,Mount Lyell salamander,Hydromantes platycephalus,,Hydromantes platycephalus,ITIS,species,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hydromantes,Hydromantes platycephalus,,,
Alexander et al. 1994,Wasp,Hymenoptera,not_specified,Hymenoptera,ITIS,order,Animalia,Arthropoda,Insecta,Hymenoptera,x,x,x,,,
Rodríguez-Estrella et al. 2000,Wasp,Hymenoptera,,Hymenoptera,ITIS,order,Animalia,Arthropoda,Insecta,Hymenoptera,x,x,x,,,
Sanchez 2016,Wasp,Hymenoptera,not_specified,Hymenoptera,ITIS,order,Animalia,Arthropoda,Insecta,Hymenoptera,x,x,x,,,
Trapp 1973,Wasp,Hymenoptera,,Hymenoptera,ITIS,order,Animalia,Arthropoda,Insecta,Hymenoptera,x,x,x,,,
Wyatt 1993,Wasp,wasp,not_specified,Hymenoptera,ITIS,order,Animalia,Arthropoda,Insecta,Hymenoptera,x,x,x,,,
Mead et al. 2006,Night snake,Hypsiglena torquata,,Hypsiglena torquata,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Hypsiglena,Hypsiglena torquata,,,
Rodríguez-Estrella et al. 2000,Night snake,Hypsiglena torquata,,Hypsiglena torquata,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Hypsiglena,Hypsiglena torquata,,,
Sanchez 2016,Bushmint,Hyptis sp.,,Hyptis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Hyptis,x,,,
Navarrete-Ozuna 2011,Ichneumon fly,Hymenoptera Fam. Ichneumonidae,,Ichneumonidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,x,x,,,
Calderon Vega 2002,Hooded oriole,Icterus cucullatus,,Icterus cucullatus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Icterus cucullatus,,,
Ackerson and Harveson 2006,Iguana,Iguanidae,,Iguanidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,x,x,x,,,
Wood 1954,Yaupon,yaupon berries,,Ilex vomitoria,ITIS,species,Plantae,,,Aquifoliales,Aquifoliaceae,Ilex,Ilex vomitoria,fruit,,
Martin et al. 1961,Insect,few insects,,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,,,
Roadman 2014,Insect,Insect,,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,,,
Alexander et al. 1994,Insect,Insecta,not_specified,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,,,
Koch & Brody 1981,Insect,Insecta,not_specified,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,,,
Nava-Vargas 1994,Insect,Insecta,,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,,,
Navarrete-Ozuna 2011,Insect,Insecta,,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,,,
Toweill & Treer 1977,Insect,Insecta,,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,,,
Wood 1954,Insect,Insecta,,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,,,
Speir et al. 2021,Insect,Insecta,,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,,,
Bailey 1928,Insect,insects,,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,,,
Rodríguez-Estrella et al. 2000,Morningglory,Ipomoea sp.,,Ipomoea,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvuceae,Ipomoea,,,,
Speir et al. 2021,Western blacklegged tick,Ixodes pacificus,,Ixodes pacificus,ITIS,species,Animalia,Arthropoda,Euchlicerata,Ixodida,Ixodidae,Ixodes,Ixodes pacificus,,,
Wyatt 1993,Tick,tick,not_specified,Ixodida,ITIS,order,Animalia,Arthropoda,Arachnida,Ixodida,x,x,x,,,
Navarrete-Ozuna 2011,False holly,Jaltomata sp. ,,Jaltomata,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Jaltomata,x,,,
Calderon Vega 2002,Physicnut,Jatropha cuneata,,Jatropha cuneata,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Jaltomata,Jatropha cuneata,,,
Nava-Vargas 1994,Leatherstem,Jatropha dioica,,Jatropha dioica,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Jaltomata,Jatropha dioica,,,
Harrison 2012,dark-eyed junco,Junco hyemalis,,Junco hyemalis,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Junco,Junco hyemalis,,,
Ackerson and Harveson 2006,Juniper,Juniperus,,Juniperus,ITIS,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,x,,,
Speir et al. 2021,Juniper,Juniperus,,Juniperus,ITIS,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,x,,,
Taylor 1954,Juniper,Juniperus,,Juniperus,ITIS,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,x,,,
Trapp 1973,Juniper,Juniperus,,Juniperus,ITIS,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,x,leaves,,
Chavez-Ramirez & Slack 1993,Ashe juniper,Juniperus ashei,,Juniperus ashei,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus ashei,,,
Toweill & Treer 1977,Ashe's juniper,Juniperus ashei,,Juniperus ashei,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus ashei,,,
Harrison 2012,One-seed juniper,Juniperus monosperma,Juniperus monosperma,Juniperus monosperma,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus monosperma,,,
Trapp 1973,Utah juniper,Juniperus osteosperma,,Juniperus osteosperma,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus osteosperma,,,
Martin et al. 1961,Red cedar juniper,Redcedar,,Juniperus virginiana,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus virginiana,,,
Nava-Vargas 1994,Water-willow,Justicia furcata,,Justicia furcata,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia furcata,,,
Calderon Vega 2002,Coyotillo,Karwinskia humboldtiana,,Karwinskia humboldtiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Karwinskia,Karwinskia humboldtiana,,,
Nava-Vargas 1994,Coyotillo,Karwinskia humboldtiana,,Karwinskia humboldtiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Karwinskia,Karwinskia humboldtiana,,,
Martin et al. 1961,Rabbit,rabbits,,Lagomorpha,ITIS,order,Animalia,Chordata,Mammalia,Lagomorpha,x,x,x,,,
Mead et al. 2006,Common kingsnake,Lampropeltis getula,,Lampropeltis getula,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis getula,,,
Mead & van Devender 1981,Arizona mountain kingsnake,Lampropeltis pyromelana,,Lampropeltis pyromelana,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis pyromelana,,,
Mead et al. 2006,California mountain kingsnake,Lampropeltis zonata,,Lampropeltis zonata,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis zonata,,,
Calderon Vega 2002,Loggerhead shrike,Lanius ludovicianus,,Lanius ludovicianus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius ludovicianus,,,
Alexander et al. 1994,Weevil,Lepesoma,not_specified,Lepesoma,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Curculionoidea,Lepesoma,x,,,
Taylor 1954,Butterfly,butterflies,,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,,,
Wyatt 1993,Butterfly,butterfly,not_specified,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,,,
Ackerson and Harveson 2006,Butterfly,Lepidoptera,,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,,,
Alexander et al. 1994,Butterfly,Lepidoptera,not_specified,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,,,
Burns 1961,Butterfly,Lepidoptera,not_specified,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,,,
Calderon Vega 2002,Butterfly,Lepidoptera,,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,,,
Rodríguez-Estrella et al. 2000,Butterfly,Lepidoptera,,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,,,
Trapp 1973,Butterfly,Lepidoptera,,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,adult,,
Trapp 1973,Butterfly,Lepidoptera,,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,larvae,,
Calderon Vega 2002,Butterfly,Lepidoptera (Larvas),,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,larvae,,
Sanchez 2016,Butterfly,Lepidoptero,,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,,,
Wyatt 1993,Moth,moth,not_specified,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,,,
Speir et al. 2021,Western conifer seed bug,Leptoglossus Occidentalis,,Leptoglossus Occidentalis,ITIS,species,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,Leptoglossus Occidentalis,,,
Alexander et al. 1994,Snowshoe hare,Lepus americanus,,Lepus americanus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus,,,
Toweill & Treer 1977,Black-tailed jack rabbit,Lepus californicus,,Lepus californicus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus californicus,,,
Calderon Vega 2002,Black jack rabbit,Lepus insularis,,Lepus insularis,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus insularis,,,
Sanchez 2016,Black jack rabbit,Lepus insularis,,Lepus insularis,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus insularis,,,
Calderon Vega 2002,Common skimmer,Odonata Libellulidae,,Libellulidae,ITIS,family,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,x,x,,,
Rodríguez-Estrella et al. 2000,Desert-thorn,Lycium spp.,,Lycium,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Lycium,x,,,
Sanchez 2016,Palo blanco,Lysiloma candida,,Lysiloma candida,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lysiloma,Lysiloma candida,,,
Bailey 1928,Fruit,fruit,,Magnoliopsida,ITIS,class,Plantae,Tracheophyta,Magnoliopsida,x,x,x,x,,,
Speir et al. 2021,Apple,Malus,,Malus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,x,,,
Roadman 2014,Apple,Apple skin,,Malus pumila,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus pumila,,,
Koch & Brody 1981,Apple,Malus malus,,Malus pumila,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus pumila,seed,,
