Source,common name,ReportedName,IUCN_scientific_name,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage,diet_category,notes
Nava-Vargas 1994,Arizona spikenard,Aralia pubescens,,Aralia humilis,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,Aralia pubescens,,,
Sanchez 2016,Spider,Aranae,,Aranae,ITIS,order,Animalia,Arthropoda,Euchelicerata,Araeneae,x,x,x,,,
Alexander et al. 1994,Spider,Araneae,not_specified,Araneae,ITIS,order,Animalia,Arthropoda,Euchelicerata,Araeneae,x,x,x,,,
Wyatt 1993,Spider,spider,not_specified,Araneae,ITIS,order,Animalia,Arthropoda,Euchelicerata,Araneae,x,x,x,,,
Wood 1954,Spider,spiders,,Araneae,ITIS,order,Animalia,Arthropoda,Euchelicerata,Araneae,x,x,x,,,
Grinnell et al. 1937,Madrones,madrone,,Arbutus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arbutus,x,,,
Trapp 1973,Greenleaf manzanita,Arctostaphylos patula,,Arcostaphylos patula,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,Arctostaphylos patula,,,
Speir et al. 2021,Manzanita,Arctostaphylos,,Arctostaphylos,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,x,,,
Grinnell et al. 1937,Manzanita,Manzanita,,Arctostaphylos,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,x,,,
Roadman 2014,Manzanita,Manzanita,,Arctostaphylos,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,x,,,
Castellanos Morales et al. 2009,Arthropod,Arthorpoda,,Arthropoda,ITIS,phylum,Animalia,Arthropoda,x,x,x,x,x,,,
Trapp 1973,Arthropod,Arthorpoda,,Arthropoda,ITIS,phylum,Animalia,Arthropoda,x,x,x,x,x,,,
Castellanos Morales et al. 2008,Arthropod,Arthropods,,Arthropoda,ITIS,phylum,Animalia,Arthropoda,x,x,x,x,x,,,
Sanchez 2016,Whiptail,Aspidocelis spp.,,Aspidocelis,EOL,genus,Animalia,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,x,,,
Wyatt 1993,Crayfish,crayfish,not_specified,Astacoidea,ITIS,superfamily,Animalia,Arthropoda,Malacostraca,Decapoda,x,x,x,,,
Wood 1954,Southern ground snake,southern ground snake,,Atractus trihedrurus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Attractus,Atractus trihedrurus,,,
Cisneros-Moreno & Martínez-Corone 2019,Leafcutter ant,Arthropoda,Atta cephalotes,Atta cephalotes,ITIS,species,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,Atta cephalotes,,,
Alexander et al. 1994,Bird,Aves,not_specified,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,adult,,
Castellanos Morales et al. 2008,Bird,Aves,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Cisneros-Moreno & Martínez-Corone 2019,Bird,Aves,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Harrison 2012,Bird,Aves,not_specified,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Koch & Brody 1981,Bird,Aves,not_specified,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,adult,,
Nava-Vargas 1994,Bird,Aves,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Speir et al. 2021,Bird,Aves,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Trapp 1973,Bird,Aves,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Wyatt 1993,Bird,Aves,not_specified,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Wyatt 1993,Bird,Aves,not_specified,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,egg,,
Morales 1998,Bird,Aves,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Nava-Vargas et al. 1999,Bird,Aves,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Villanueva 2008,Bird,Aves,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Bailey 1928,Bird,birds,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Castellanos Morales et al. 2009,Bird,Birds,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Roadman 2014,Bird,Feathers,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Wood 1954,Bird,unidentified bird,,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,,,
Navarrete-Ozuna 2011,Ringtail,Bassariscus astutus,,Bassariscus astutus,ITIS,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus,Bassariscus astutus,,,
Mead et al. 2006,Gregarious slender salamander,Batrachoseps gregarius,,Batrachoseps gregarius,ITIS,species,Animalia,Chordata,Amphibia,Plethodontidae,Batrachoseps,Batrachoseps gregarius,x,,,
Mead et al. 2006,Sequoia slender salamander,Batrachoseps kawia,,Batrachoseps kawia,ITIS,species,Animalia,Chordata,Amphibia,Plethodontidae,Batrachoseps,Batrachoseps kawia,x,,,
Mead et al. 2006,Kings river slender salamander,Batrachoseps regius,,Batrachoseps regius,ITIS,species,Animalia,Chordata,Amphibia,Plethodontidae,Batrachoseps,Batrachoseps regius,x,,,
Mead et al. 2006,Kern Canyon slender salamander,Batrachoceps simatus,,Batrachoseps simatus,ITIS,species,Animalia,Chordata,Amphibia,Plethodontidae,Batrachoseps,Batrachoseps simatus,x,,,
Martin et al. 1961,Babrberry,barberry,,Berberis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,x,,,
Taylor 1954,Barberry,barberry,,Berberis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,x,,,
Ackerson and Harveson 2006,Barberry,Mahonia sp.,,Berberis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,x,,,
Navarrete-Ozuna 2011,Beggartick,Bidens sp.,,Bidens,EOL,genus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,x,,,
Villanueva 2008,Hairy beggarticks,Bidens odotara,,Bidens pilosa,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens odotara,,,
Villanueva 2008,Beggartick,Bidens serrulata,,Bidens serrulata,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens serrulata,,,
Calderon Vega 2002,American cockroach,Orthoptera Blatidae,,Blatidae,ITIS,family,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,x,x,,,
Sanchez 2016,Cockroach,Blattodea,,Blattodea,ITIS,order,Animalia,Arthropoda,Insecta,Blattodea,x,x,x,,,
Rodríguez-Estrella et al. 2000,Cockroach,Isoptera,,Blattodea,ITIS,order,Animalia,Arthropoda,Insecta,Isoptera,x,x,x,,,
Speir et al. 2021,Bumble bee,Bombus,,Bombus,ITIS,genus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,,,
Calderon Vega 2002,Strongbark,Bourrera sonorae,,Bourreria sonorae,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Bourreriea,Bourreria sonorae,,,
Sanchez 2016,Strongbark,Bourreria sonorae,,Bourreria sonorae,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Bourreriea,Bourreria sonorae,,,
